y,x
58,38
59,38
60,38
61,38
62,38
63,38
64,38
65,38
66,38
67,38
68,38
69,38
70,38
71,38
72,38
73,38
74,38
75,38
76,38
77,38
78,38
79,38
80,38
81,38
82,38
83,38
84,38
85,38
86,38
87,38
88,38
89,38
90,38
91,38
92,38
93,38
94,38
95,38
96,38
97,38
98,38
99,38
100,38
101,38
102,38
103,38
104,38
105,38
106,38
107,38
108,38
109,38
25,39
26,39
27,39
28,39
29,39
30,39
31,39
32,39
33,39
34,39
35,39
36,39
37,39
38,39
39,39
40,39
41,39
42,39
43,39
44,39
45,39
46,39
47,39
48,39
49,39
50,39
51,39
52,39
53,39
54,39
55,39
56,39
57,39
58,39
59,39
60,39
61,39
62,39
63,39
64,39
65,39
66,39
67,39
68,39
69,39
70,39
71,39
72,39
73,39
74,39
75,39
76,39
77,39
78,39
79,39
80,39
81,39
82,39
83,39
84,39
85,39
86,39
87,39
88,39
89,39
90,39
91,39
92,39
93,39
94,39
95,39
96,39
97,39
98,39
99,39
100,39
101,39
102,39
103,39
104,39
105,39
106,39
107,39
108,39
108,40
108,41
108,42
108,43
108,44
108,45
108,46
108,47
108,48
108,49
108,50
108,51
108,52
108,53
108,54
108,55
108,56
108,57
108,58
109,58
110,58
110,59
111,59
112,59
113,59
114,59
114,60
115,60
116,60
116,61
117,61
118,61
118,62
119,62
120,62
120,63
121,63
122,63
122,64
123,64
123,65
124,65
124,66
125,66
125,67
126,67
126,68
127,68
127,69
128,69
129,69
129,70
130,70
130,71
131,71
132,71
132,72
133,72
134,72
135,72
135,73
136,73
137,73
137,74
137,75
138,75
139,75
140,75
141,75
138,74
139,74
140,74
141,74
138,73
136,72
133,71
131,70
128,68
127,67
126,66
125,65
121,62
119,61
114,66
113,66
112,66
111,66
110,66
109,66
108,66
108,65
109,65
110,65
111,65
108,67
108,68
108,69
108,70
108,71
109,71
110,71
111,71
112,71
113,71
114,71
115,71
116,71
117,71
118,71
119,71
120,71
121,71
109,70
109,69
109,68
109,67
112,67
113,67
114,67
115,67
115,68
116,68
116,69
117,69
117,70
118,70
119,70
120,70
118,69
117,68
116,67
117,60
115,59
111,58
112,58
109,57
109,56
109,55
109,54
109,53
109,52
109,51
109,50
109,49
109,48
109,47
109,46
109,45
109,44
109,43
109,42
109,41
109,40
109,39
26,41
27,43
28,45
30,48
31,49
32,50
33,51
36,53
38,54
40,49
40,48
39,48
39,47
38,47
37,47
37,46
36,46
36,45
37,45
38,45
39,45
40,45
41,45
42,45
43,45
44,45
45,45
46,45
47,45
48,45
49,45
50,45
51,45
52,45
53,45
54,45
55,45
56,45
57,45
58,45
59,45
60,45
61,45
62,45
63,45
64,45
65,45
66,45
67,45
68,45
69,45
70,45
71,45
72,45
73,45
74,45
75,45
76,45
77,45
78,45
38,46
39,46
40,46
41,46
42,46
43,46
44,46
45,46
46,46
47,46
48,46
49,46
50,46
51,46
52,46
53,46
54,46
55,46
56,46
57,46
58,46
59,46
60,46
61,46
62,46
63,46
64,46
65,46
66,46
67,46
68,46
69,46
70,46
71,46
72,46
73,46
74,46
75,46
76,46
77,46
77,47
78,47
78,46
40,47
41,48
41,49
42,49
42,50
43,50
44,50
45,50
45,51
46,51
47,51
48,51
48,52
49,52
50,52
51,52
52,52
52,53
53,53
54,53
55,53
56,53
57,53
58,53
58,54
59,54
60,54
61,54
62,54
63,54
64,54
65,54
66,54
67,54
68,54
69,54
70,54
71,54
71,53
72,53
72,52
73,52
73,51
73,50
74,50
74,49
75,49
76,49
76,48
77,48
78,48
77,49
75,50
